"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
333939180002;;;;;"Klosz DIFFUSY Y150 - mleczny";;;https://static.tildacdn.com/stor6131-3130-4334-b266-343637316665/33572474.png;12.00;99;;Kolor:mleczny;;Z0jQpgcsgfNvDPq3zycpi1;299840035862;0;0;0;0;https://alumineu.pl/produkty/akcesoria/klosze/diffusy-y150?editionuid=333939180002
626383725252;Alumineu;;;akcesoria>>>zaślepki;"Zaślepka ENDCAPP Y205";"Końcówka do profilu CURTINA X405.";;https://static.tildacdn.com/stor3136-6239-4865-b661-323735623165/86287381.png;;;;;;endcapp_y205;;0;0;0;0;https://alumineu.pl/produkty/akcesoria/zaslepki/endcapp-y205
472351853372;;;;;"Zaślepka ENDCAPP Y205 - biały mat";;;https://static.tildacdn.com/stor3136-6239-4865-b661-323735623165/86287381.png;20.00;9;;"Kolor:biały mat";;0tjwIdlUikOX0Ujz8iz0g0;626383725252;0;0;0;0;https://alumineu.pl/produkty/akcesoria/zaslepki/endcapp-y205?editionuid=472351853372
692395679122;;;;;"Zaślepka ENDCAPP Y205 - czarny mat";;;https://static.tildacdn.com/stor3136-6239-4865-b661-323735623165/86287381.png;20.00;10;;"Kolor:czarny mat";;s3hlPBkThtLs9b-VgS5-72;626383725252;0;0;0;0;https://alumineu.pl/produkty/akcesoria/zaslepki/endcapp-y205?editionuid=692395679122
780735768642;Alumineu;;;akcesoria>>>zaślepki;"Zaślepka ENDCAPP Y201";"Końcówka do odcięcia granicy linii świetlnej dla profilu LIGHTRA X015.";;https://static.tildacdn.com/stor6436-6339-4038-b630-633631363938/64367748.png;;;;;;endcapp_y201;;0;0;0;0;https://alumineu.pl/produkty/akcesoria/zaslepki/endcapp-y201
239277149292;;;;;"Zaślepka ENDCAPP Y201 - czarny połysk";;;https://static.tildacdn.com/stor6436-6339-4038-b630-633631363938/64367748.png;4.00;99;;"Kolor:czarny połysk";;h5ANH4hyhaQ0ahlbaV9nf3;780735768642;0;0;0;0;https://alumineu.pl/produkty/akcesoria/zaslepki/endcapp-y201?editionuid=239277149292
427944429862;Alumineu;;;akcesoria>>>zaślepki;"Zaślepka ENDCAPP Y206";"Końcowa zaślepk do profilu CURTINA X406";;https://static.tildacdn.com/stor3432-3431-4533-a564-346333363962/46599124.png;;;;;;endcapp_y206;;0;0;0;0;https://alumineu.pl/produkty/akcesoria/zaslepki/endcapp-y206
210946065632;;;;;"Zaślepka ENDCAPP Y206 - biały mat";;;https://static.tildacdn.com/stor3432-3431-4533-a564-346333363962/46599124.png;8.00;99;;"Kolor:biały mat";;tPFY8g6HhI3goBhXwFAdR2;427944429862;0;0;0;0;https://alumineu.pl/produkty/akcesoria/zaslepki/endcapp-y206?editionuid=210946065632
430276725522;;;;;"Zaślepka ENDCAPP Y206 - czarny mat";;;https://static.tildacdn.com/stor3432-3431-4533-a564-346333363962/46599124.png;8.00;99;;"Kolor:czarny mat";;qbmrWdNBhQrZ9Ppq1rO-N2;427944429862;0;0;0;0;https://alumineu.pl/produkty/akcesoria/zaslepki/endcapp-y206?editionuid=430276725522
303380045822;Alumineu;;;akcesoria>>>zaślepki;"Zaślepka ENDCAPP Y202";"Końcowa zaślepka do odcięcia granicy linii świetlnej dla profilu LIGHTRA X030.";;https://static.tildacdn.com/stor3731-3465-4131-b864-346666643961/35178198.png;;;;;;endcapp_y202;;0;0;0;0;https://alumineu.pl/produkty/akcesoria/zaslepki/endcapp-y202
