"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url;Tabs:1
955812821282;;;;;"Despărțitor DECORRA - 1000 mm - alb mat";;;;1722.89;32;;"lungime:1000 mm;culoare:alb mat";;lp4e5bsYjDqziPV39cnuC2;749903659052;0;0;0;0;https://alumineu.ro/tproduct/749903659052-despritor-decorra?editionuid=955812821282;
321097006522;;;;;"Despărțitor DECORRA - 1000 mm - negru mat";;;;1722.89;33;;"lungime:1000 mm;culoare:negru mat";;bmi8XCqTjEWJdGyaSuIyc0;749903659052;0;0;0;0;https://alumineu.ro/tproduct/749903659052-despritor-decorra?editionuid=321097006522;
783208794242;;;;;"Despărțitor DECORRA - 1500 mm - alb mat";;;;2544.58;23;;"lungime:1500 mm;culoare:alb mat";;1DXQpiEKjE3GouFX6fQLj1;749903659052;0;0;0;0;https://alumineu.ro/tproduct/749903659052-despritor-decorra?editionuid=783208794242;
379781585392;;;;;"Despărțitor DECORRA - 1500 mm - negru mat";;;;2544.58;20;;"lungime:1500 mm;culoare:negru mat";;Mi1z6scziBgnL27xWxmwT2;749903659052;0;0;0;0;https://alumineu.ro/tproduct/749903659052-despritor-decorra?editionuid=379781585392;
641806196652;;;;"ventilație>>>difuzoare cu fante";"Ventilație AEROOOM";;;https://static.tildacdn.com/stor6431-3636-4137-a232-313761663865/d3ce48344503ac89c5f1fe9008b05a07.png;;;;;;aerooom;;0;0;0;0;https://alumineu.ro/produse/ventilatie/difuzoare-cu-fante/aerooom;
706260013052;;;;;"Ventilație AEROOOM - 0.7 m - negru mat";;;;381.69;18;;"lungime:0.7 m;culoare:negru mat";;67Bbx0xngULuV9UzemHTF3;641806196652;0;0;0;0;https://alumineu.ro/produse/ventilatie/difuzoare-cu-fante/aerooom?editionuid=706260013052;
803109027452;;;;;"Ventilație AEROOOM - 1 m - negru mat";;;;477.11;18;;"lungime:1 m;culoare:negru mat";;jvZowSDbjriTyuZ4gKOP73;641806196652;0;0;0;0;https://alumineu.ro/produse/ventilatie/difuzoare-cu-fante/aerooom?editionuid=803109027452;
486882816912;;;;;"Ventilație AEROOOM - 1.4 m - negru mat";;;;530.12;18;;"lungime:1.4 m;culoare:negru mat";;QUUROkmnjacZooCUHKa9k1;641806196652;0;0;0;0;https://alumineu.ro/produse/ventilatie/difuzoare-cu-fante/aerooom?editionuid=486882816912;
136496325732;;;;accesorii>>>difuzoare;"Difuzoare DIFFUSY Y134";;;https://static.tildacdn.com/stor3661-3637-4263-a466-373466323663/57851038.png;;;;;;diffusy_y134;;0;0;0;0;https://alumineu.ro/tproduct/136496325732-difuzoare-diffusy-y134;
759332458082;;;;;"Difuzoare DIFFUSY Y134 - lăptos";;;https://static.tildacdn.com/stor3661-3637-4263-a466-373466323663/57851038.png;13.25;;;culoare:lăptos;;OKOeFss5i43IMv6ZjYcRM3;136496325732;0;0;0;0;https://alumineu.ro/tproduct/136496325732-difuzoare-diffusy-y134?editionuid=759332458082;
